ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
1,女,高職,公立,國（初）中,公立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,20000,20000,9907,22000,10006,,,,,,,24000,4,專科,1
2,男,高職,公立,高中,,碩士,私立一般大學,科學領域,43,8800,8800,9609,,9709,,,,,,,8800,4,高中(職),1
6,女,高職,,高職,私立,技術學院或科技大學,公立科技大學,社會科學、商業及法律領域,,25000,25000,10011,24000,10311,,,,,,,24000,4,大學,1
15,女,技術學院或科技大學,公立,技術學院或科技大學,私立,一般大學,私立一般大學,社會科學、商業及法律領域,50,30000,30000,10008,30000,10203,,,,,,,35000,2,高中(職),1
25,女,,,小學,,高職,,,,18000,18000,9807,10000,9901,14150,9909,18000,10209,,,18000,5,高中(職),1
26,男,一般大學,公立,一般大學,公立,技術學院或科技大學,私立科技大學,服務領域,,18000,10000,9307,,9309,18000,9608,,9702,18000,9708,22000,4,國中以下,1
29,男,五專,私立,五專,,碩士,,,58,8000,8000,10103,8000,10109,,10202,,,,,8000,5,高中(職),1
32,女,高職,,五專,,碩士,國外大學,人文及藝術領域,,25000,4500,9508,,9512,25000,10096,32000,10108,,10207,40000,2,國中以下,1
34,男,小學,公立,國（初）中,公立,高職,,,,10000,10000,10005,12000,10012,,10202,,,,,12000,4,國中以下,1
36,男,,,國（初）中,,高職,,,,18000,18000,9608,,9610,,9712,,9901,,,18000,4,高中(職),1
37,女,五專,,二專,,技術學院或科技大學,公立科技大學,社會科學、商業及法律領域,,33000,33000,10008,,10209,40000,10302,,,,,50000,4,大學,1
39,男,小學,,,,一般大學,私立一般大學,社會科學、商業及法律領域,49,0,8000,9601,,9609,15500,9709,,10010,50000,10110,20000,1,國中以下,1
41,男,高職,私立,高中普通科,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,18000,18000,9709,,10008,20000,10108,5000,10207,,,5000,2,高中(職),1
49,女,,,高中,,一般大學,公立一般大學,人文及藝術領域,,23000,23000,10109,40000,10209,,10301,40000,10308,,,40000,5,碩士,1
53,女,高中普通科,公立,國（初）中,公立,一般大學,公立一般大學,教育領域,,43000,43000,10109,43000,10208,,,,,,,43000,5,大學,1
57,男,軍警官學校,公立,高中職業科,私立,碩士,私立科技大學,人文及藝術領域,,27000,27000,10208,,,,,,,,,27000,4,高中(職),1
61,男,五專,公立,高職,私立,技術學院或科技大學,私立科技大學,科學領域,,19000,19000,9807,,9902,20000,10003,,10102,27000,10106,25000,4,高中(職),1
62,男,,,高中,,一般大學,私立一般大學,工程、製造及營造領域,,0,,,,,,,,,,,,,,1
64,女,高中,,國（初）中,,技術學院或科技大學,私立科技大學,農學領域,,22000,22000,10109,21900,10207,,,,,,,21900,4,高中(職),1
65,女,國（初）中,公立,國（初）中,公立,一般大學,私立一般大學,人文及藝術領域,45,28000,28000,10006,30000,10110,50000,10212,,,,,50000,5,大學,1
67,女,高職,,國（初）中,公立,技術學院或科技大學,私立技職學院,服務領域,,23000,14000,9307,,9309,23000,9606,拒答,10010,23000,10109,23000,4,大學,1
69,男,高職,,高職,,一般大學,,普通類,,15600,15600,9707,,9709,15600,9801,,9802,15600,9807,33000,4,大學,1
72,男,碩士,公立,五專,公立,一般大學,公立一般大學,社會科學、商業及法律領域,72,55000,55000,10010,55000,10206,,,,,,,55000,4,大學,1
79,女,高中,公立,高中,公立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,12000,12000,9907,,10006,25000,10009,,,,,35000,5,大學,1
85,男,小學,,小學,,技術學院或科技大學,私立技職學院,科學領域,,20000,20000,9906,,10107,25000,10208,,,,,25000,4,國中以下,1
93,男,高中職業科,私立,高中,私立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,8500,8500,9902,,9909,19000,10008,0,10104,,,,4,國中以下,1
97,女,高職,,高職,私立,技術學院或科技大學,私立技職學院,人文及藝術領域,,25000,6800,9507,25000,9606,18000,9801,22000,9901,,,32000,5,大學,1
104,男,一般大學,私立,三專,,碩士,私立一般大學,社會科學、商業及法律領域,,5000,5000,9801,,10004,,10208,,10309,,,,4,碩士,1
105,男,一般大學,,高中,,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,19000,19000,9707,,9709,19000,9807,,9810,,10008,28000,4,高中(職),1
106,男,博士,國外,一般大學,私立,碩士,公立一般大學,工程、製造及營造領域,64,4000,4000,9909,,10109,,,,,,,4000,3,大學,1
109,男,國（初）中,,國（初）中,,一般大學,私立一般大學,科學領域,,19200,19200,9706,,9709,8000,9801,6000,9802,24000,10008,25000,3,高中(職),1
111,男,小學,公立,國（初）中,公立,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,30000,30000,10007,35000,10110,,,,,,,35000,4,大學,1
114,女,,,,,一般大學,私立一般大學,教育領域,,20000,20000,10010,,10012,28000,10104,,,,,29000,5,大學,1
115,男,國（初）中,,國（初）中,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,5000,5000,9907,6000,10007,,10110,30000,10212,30000,10306,35000,4,國中以下,1
119,男,高職,私立,國（初）中,公立,一般大學,私立一般大學,社會科學、商業及法律領域,46,13000,13000,10007,24000,10012,25000,10107,,,,,48000,2,高中(職),1
127,男,一般大學,私立,高職,公立,碩士,公立一般大學,工程、製造及營造領域,,0,,,,,,,,,,,,,,1
134,男,博士,國外,碩士,,一般大學,公立一般大學,人文及藝術領域,,25000,25000,9610,,,,,,,,,55000,3,高中(職),1
135,女,高職,,高職,私立,一般大學,私立一般大學,醫藥衛生及社福領域,72,24000,24000,10205,9000,10306,,,,,,,9000,4,大學,1
139,男,高中普通科,,高職,,碩士,公立科技大學,工程、製造及營造領域,,0,,,,,,,,,,,,,,1
144,女,高中普通科,,小學,公立,碩士,私立一般大學,工程、製造及營造領域,,0,,9907,,9908,,,,,,,,5,高中(職),1
145,男,高中職業科,私立,國（初）中,,一般大學,私立一般大學,醫藥衛生及社福領域,71,20000,20000,10206,,,,,,,,,20000,5,碩士,1
146,女,技術學院或科技大學,公立,高中職業科,私立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,22000,22000,10009,24000,10110,24000,10209,,,,,25000,4,大學,1
148,男,高中,私立,高中,,一般大學,公立一般大學,人文及藝術領域,63,22000,22000,10207,,,,,,,,,25000,2,高中(職),1
149,女,國（初）中,,國（初）中,公立,一般大學,私立一般大學,人文及藝術領域,,0,12000,9409,,,,,,,,,23000,4,高中(職),1
151,男,高中,,高職,私立,技術學院或科技大學,私立科技大學,服務領域,,0,,9596,,9807,25000,9910,,,,,34000,5,高中(職),1
155,男,國（初）中,,小學,,技術學院或科技大學,私立技職學院,工程、製造及營造領域,,0,12000,9502,,9702,18000,10006,,10010,27000,10109,34000,4,高中(職),1
162,女,,,,,高職,,,,26000,22000,,,,15000,,26000,10204,23000,10303,22000,4,高中(職),1
163,女,國（初）中,公立,小學,公立,二專,私立技職學院,科學領域,,7000,5000,9307,,9309,7000,9609,22000,9806,,,22000,4,高中(職),1
167,女,博士,公立,碩士,私立,一般大學,公立一般大學,社會科學、商業及法律領域,,0,,,,,,,,,,,,,,1
171,男,國（初）中,公立,國（初）中,公立,技術學院或科技大學,私立技職學院,人文及藝術領域,,20000,20000,10110,30000,10203,22000,10211,,,,,21000,4,國中以下,1
